time,available_stores
2026-02-01 06:11:20-05:00,37
2026-02-01 06:11:30-05:00,195
2026-02-01 06:11:40-05:00,451
2026-02-01 06:11:50-05:00,489
2026-02-01 06:12:00-05:00,911
2026-02-01 06:12:10-05:00,1047
2026-02-01 06:12:20-05:00,1268
2026-02-01 06:12:30-05:00,1704
2026-02-01 06:12:40-05:00,1759
2026-02-01 06:12:50-05:00,2118
2026-02-01 06:13:00-05:00,2289
2026-02-01 06:13:10-05:00,2491
2026-02-01 06:13:20-05:00,2778
2026-02-01 06:13:30-05:00,3065
2026-02-01 06:13:40-05:00,3181
2026-02-01 06:13:50-05:00,3448
2026-02-01 06:14:00-05:00,3684
2026-02-01 06:14:10-05:00,3990
2026-02-01 06:14:20-05:00,4116
2026-02-01 06:14:30-05:00,4462
2026-02-01 06:14:40-05:00,4635
2026-02-01 06:14:50-05:00,4853
2026-02-01 06:15:00-05:00,5151
2026-02-01 06:15:10-05:00,5243
2026-02-01 06:15:20-05:00,5561
2026-02-01 06:15:30-05:00,5693
2026-02-01 06:15:40-05:00,5964
2026-02-01 06:15:50-05:00,6034
2026-02-01 06:16:00-05:00,6297
2026-02-01 06:16:10-05:00,6484
2026-02-01 06:16:20-05:00,6740
2026-02-01 06:16:30-05:00,6844
2026-02-01 06:16:40-05:00,6720
2026-02-01 06:16:50-05:00,6935
2026-02-01 06:17:00-05:00,6792
2026-02-01 06:17:10-05:00,6847
2026-02-01 06:17:20-05:00,6908
2026-02-01 06:17:30-05:00,6653
2026-02-01 06:17:40-05:00,6850
2026-02-01 06:17:50-05:00,6671
2026-02-01 06:18:00-05:00,6714
2026-02-01 06:18:10-05:00,6789
2026-02-01 06:18:20-05:00,6723
2026-02-01 06:18:30-05:00,6713
2026-02-01 06:18:40-05:00,6781
2026-02-01 06:18:50-05:00,6734
2026-02-01 06:19:00-05:00,6710
2026-02-01 06:19:10-05:00,6653
2026-02-01 06:19:20-05:00,6831
2026-02-01 06:19:30-05:00,6750
2026-02-01 06:19:40-05:00,6841
2026-02-01 06:19:50-05:00,6863
2026-02-01 06:20:00-05:00,6757
2026-02-01 06:20:10-05:00,6947
2026-02-01 06:20:20-05:00,6880
2026-02-01 06:20:30-05:00,6949
2026-02-01 06:20:40-05:00,6840
